#query	EC
TARA_ARC_108_MAG_00139_000000000001_1	3.5.1.9
TARA_ARC_108_MAG_00139_000000000011_3	-
TARA_ARC_108_MAG_00139_000000000011_4	-
TARA_ARC_108_MAG_00139_000000000011_5	1.14.13.238
TARA_ARC_108_MAG_00139_000000000011_6	1.14.13.238
TARA_ARC_108_MAG_00139_000000000011_7	1.14.13.238
TARA_ARC_108_MAG_00139_000000000011_8	2.1.2.10
TARA_ARC_108_MAG_00139_000000000011_9	-
TARA_ARC_108_MAG_00139_000000000011_10	-
TARA_ARC_108_MAG_00139_000000000011_11	2.1.1.21
TARA_ARC_108_MAG_00139_000000000012_1	-
TARA_ARC_108_MAG_00139_000000000012_2	1.9.3.1
TARA_ARC_108_MAG_00139_000000000012_3	2.5.1.141
TARA_ARC_108_MAG_00139_000000000012_4	-
TARA_ARC_108_MAG_00139_000000000012_5	-
TARA_ARC_108_MAG_00139_000000000012_6	1.9.3.1
TARA_ARC_108_MAG_00139_000000000012_7	-
TARA_ARC_108_MAG_00139_000000000012_8	4.2.3.1
TARA_ARC_108_MAG_00139_000000000012_9	-
TARA_ARC_108_MAG_00139_000000000012_10	2.3.1.128
TARA_ARC_108_MAG_00139_000000000012_12	-
TARA_ARC_108_MAG_00139_000000000012_13	2.4.2.7
TARA_ARC_108_MAG_00139_000000000012_14	-
TARA_ARC_108_MAG_00139_000000000012_15	-
TARA_ARC_108_MAG_00139_000000000012_16	2.4.2.28
TARA_ARC_108_MAG_00139_000000000012_17	-
TARA_ARC_108_MAG_00139_000000000012_18	-
TARA_ARC_108_MAG_00139_000000000012_19	-
TARA_ARC_108_MAG_00139_000000000012_20	-
TARA_ARC_108_MAG_00139_000000000012_21	-
TARA_ARC_108_MAG_00139_000000000012_22	-
TARA_ARC_108_MAG_00139_000000000012_23	3.6.3.29
TARA_ARC_108_MAG_00139_000000000013_1	-
TARA_ARC_108_MAG_00139_000000000013_2	-
TARA_ARC_108_MAG_00139_000000000013_3	2.6.1.19,2.6.1.22
TARA_ARC_108_MAG_00139_000000000013_4	-
TARA_ARC_108_MAG_00139_000000000013_5	-
TARA_ARC_108_MAG_00139_000000000013_7	3.5.1.18
TARA_ARC_108_MAG_00139_000000000013_8	-
TARA_ARC_108_MAG_00139_000000000013_9	-
TARA_ARC_108_MAG_00139_000000000013_10	-
TARA_ARC_108_MAG_00139_000000000013_11	-
TARA_ARC_108_MAG_00139_000000000013_12	-
TARA_ARC_108_MAG_00139_000000000013_13	-
TARA_ARC_108_MAG_00139_000000000014_1	-
TARA_ARC_108_MAG_00139_000000000014_2	-
TARA_ARC_108_MAG_00139_000000000014_3	-
TARA_ARC_108_MAG_00139_000000000014_4	-
TARA_ARC_108_MAG_00139_000000000014_5	-
TARA_ARC_108_MAG_00139_000000000014_6	-
TARA_ARC_108_MAG_00139_000000000015_1	-
TARA_ARC_108_MAG_00139_000000000015_2	-
TARA_ARC_108_MAG_00139_000000000015_3	1.2.1.38
TARA_ARC_108_MAG_00139_000000000015_4	5.1.1.3
TARA_ARC_108_MAG_00139_000000000015_5	-
TARA_ARC_108_MAG_00139_000000000016_1	2.3.1.37
TARA_ARC_108_MAG_00139_000000000016_2	-
TARA_ARC_108_MAG_00139_000000000016_3	-
TARA_ARC_108_MAG_00139_000000000016_4	2.1.1.250
TARA_ARC_108_MAG_00139_000000000016_5	-
TARA_ARC_108_MAG_00139_000000000017_1	1.5.8.4
TARA_ARC_108_MAG_00139_000000000017_3	1.5.8.4
TARA_ARC_108_MAG_00139_000000000018_2	4.2.1.155
TARA_ARC_108_MAG_00139_000000000018_3	4.1.1.65
TARA_ARC_108_MAG_00139_000000000018_4	2.7.8.8
TARA_ARC_108_MAG_00139_000000000018_5	-
TARA_ARC_108_MAG_00139_000000000018_6	1.6.5.3
TARA_ARC_108_MAG_00139_000000000018_7	-
TARA_ARC_108_MAG_00139_000000000019_1	2.7.7.60,4.6.1.12
TARA_ARC_108_MAG_00139_000000000019_2	3.1.3.27
TARA_ARC_108_MAG_00139_000000000019_3	3.5.1.42
TARA_ARC_108_MAG_00139_000000000019_4	-
TARA_ARC_108_MAG_00139_000000000019_5	-
TARA_ARC_108_MAG_00139_000000000020_1	1.6.5.3,1.6.99.3
TARA_ARC_108_MAG_00139_000000000020_2	-
TARA_ARC_108_MAG_00139_000000000020_3	-
TARA_ARC_108_MAG_00139_000000000020_4	1.6.5.3
TARA_ARC_108_MAG_00139_000000000020_5	-
TARA_ARC_108_MAG_00139_000000000020_6	-
TARA_ARC_108_MAG_00139_000000000020_7	-
TARA_ARC_108_MAG_00139_000000000020_8	1.6.5.3
TARA_ARC_108_MAG_00139_000000000021_1	1.10.3.14
TARA_ARC_108_MAG_00139_000000000021_3	-
TARA_ARC_108_MAG_00139_000000000021_4	-
TARA_ARC_108_MAG_00139_000000000021_5	-
TARA_ARC_108_MAG_00139_000000000021_6	1.1.1.85
TARA_ARC_108_MAG_00139_000000000022_2	-
TARA_ARC_108_MAG_00139_000000000022_3	-
TARA_ARC_108_MAG_00139_000000000022_4	1.4.5.1
TARA_ARC_108_MAG_00139_000000000022_5	-
TARA_ARC_108_MAG_00139_000000000023_1	-
TARA_ARC_108_MAG_00139_000000000023_3	-
TARA_ARC_108_MAG_00139_000000000023_4	2.1.1.181
TARA_ARC_108_MAG_00139_000000000024_1	3.5.1.54
TARA_ARC_108_MAG_00139_000000000024_2	-
TARA_ARC_108_MAG_00139_000000000024_3	1.1.99.1
TARA_ARC_108_MAG_00139_000000000025_2	-
TARA_ARC_108_MAG_00139_000000000025_3	-
TARA_ARC_108_MAG_00139_000000000025_4	4.1.1.44
TARA_ARC_108_MAG_00139_000000000025_5	1.13.11.3
TARA_ARC_108_MAG_00139_000000000025_6	1.13.11.3
TARA_ARC_108_MAG_00139_000000000025_7	-
TARA_ARC_108_MAG_00139_000000000026_1	-
TARA_ARC_108_MAG_00139_000000000026_2	-
TARA_ARC_108_MAG_00139_000000000026_3	3.6.3.38
TARA_ARC_108_MAG_00139_000000000027_2	-
TARA_ARC_108_MAG_00139_000000000027_3	2.3.1.247
TARA_ARC_108_MAG_00139_000000000027_4	-
TARA_ARC_108_MAG_00139_000000000027_5	-
TARA_ARC_108_MAG_00139_000000000028_2	-
TARA_ARC_108_MAG_00139_000000000028_3	-
TARA_ARC_108_MAG_00139_000000000028_4	1.5.1.5,3.5.4.9
TARA_ARC_108_MAG_00139_000000000028_5	-
TARA_ARC_108_MAG_00139_000000000028_6	6.3.4.3
TARA_ARC_108_MAG_00139_000000000028_7	1.5.1.5,3.5.4.9
TARA_ARC_108_MAG_00139_000000000029_1	-
TARA_ARC_108_MAG_00139_000000000029_2	-
TARA_ARC_108_MAG_00139_000000000029_3	-
TARA_ARC_108_MAG_00139_000000000030_1	-
TARA_ARC_108_MAG_00139_000000000030_2	-
TARA_ARC_108_MAG_00139_000000000030_3	-
TARA_ARC_108_MAG_00139_000000000031_1	-
TARA_ARC_108_MAG_00139_000000000031_2	-
TARA_ARC_108_MAG_00139_000000000031_3	-
TARA_ARC_108_MAG_00139_000000000031_4	-
TARA_ARC_108_MAG_00139_000000000031_5	-
TARA_ARC_108_MAG_00139_000000000032_1	-
TARA_ARC_108_MAG_00139_000000000032_2	1.2.5.3
TARA_ARC_108_MAG_00139_000000000032_4	6.1.1.9
TARA_ARC_108_MAG_00139_000000000033_1	-
TARA_ARC_108_MAG_00139_000000000033_2	-
TARA_ARC_108_MAG_00139_000000000033_3	-
TARA_ARC_108_MAG_00139_000000000034_1	4.3.1.12
TARA_ARC_108_MAG_00139_000000000034_2	-
TARA_ARC_108_MAG_00139_000000000034_3	3.5.3.1
TARA_ARC_108_MAG_00139_000000000035_2	2.4.2.29
TARA_ARC_108_MAG_00139_000000000035_3	-
TARA_ARC_108_MAG_00139_000000000035_4	-
TARA_ARC_108_MAG_00139_000000000035_5	-
TARA_ARC_108_MAG_00139_000000000036_1	2.7.7.9
TARA_ARC_108_MAG_00139_000000000036_2	-
TARA_ARC_108_MAG_00139_000000000036_3	-
TARA_ARC_108_MAG_00139_000000000036_4	-
TARA_ARC_108_MAG_00139_000000000037_1	4.2.1.51,4.2.1.91
TARA_ARC_108_MAG_00139_000000000037_2	3.6.3.21
TARA_ARC_108_MAG_00139_000000000037_3	-
TARA_ARC_108_MAG_00139_000000000037_4	-
TARA_ARC_108_MAG_00139_000000000037_5	-
TARA_ARC_108_MAG_00139_000000000038_1	2.7.6.5,3.1.7.2
TARA_ARC_108_MAG_00139_000000000038_2	2.7.7.6
TARA_ARC_108_MAG_00139_000000000038_3	2.7.6.3,4.1.2.25
TARA_ARC_108_MAG_00139_000000000038_4	-
TARA_ARC_108_MAG_00139_000000000038_5	1.17.7.4
TARA_ARC_108_MAG_00139_000000000039_2	2.6.1.85,4.1.3.27
TARA_ARC_108_MAG_00139_000000000039_3	2.4.2.18,4.1.3.27
TARA_ARC_108_MAG_00139_000000000039_4	3.2.2.27
TARA_ARC_108_MAG_00139_000000000039_5	4.1.1.48,5.3.1.24
TARA_ARC_108_MAG_00139_000000000040_2	-
TARA_ARC_108_MAG_00139_000000000040_3	-
TARA_ARC_108_MAG_00139_000000000040_4	-
TARA_ARC_108_MAG_00139_000000000040_5	-
TARA_ARC_108_MAG_00139_000000000041_1	-
TARA_ARC_108_MAG_00139_000000000041_2	3.4.21.107
TARA_ARC_108_MAG_00139_000000000041_3	-
TARA_ARC_108_MAG_00139_000000000041_4	2.7.7.6
TARA_ARC_108_MAG_00139_000000000041_5	-
TARA_ARC_108_MAG_00139_000000000041_6	-
TARA_ARC_108_MAG_00139_000000000041_7	-
TARA_ARC_108_MAG_00139_000000000041_8	2.7.4.3
TARA_ARC_108_MAG_00139_000000000041_9	-
TARA_ARC_108_MAG_00139_000000000042_1	-
TARA_ARC_108_MAG_00139_000000000042_2	-
TARA_ARC_108_MAG_00139_000000000042_3	2.3.1.180
TARA_ARC_108_MAG_00139_000000000042_4	2.3.1.15
TARA_ARC_108_MAG_00139_000000000043_2	3.1.26.12
TARA_ARC_108_MAG_00139_000000000043_3	-
TARA_ARC_108_MAG_00139_000000000043_4	-
TARA_ARC_108_MAG_00139_000000000044_1	-
TARA_ARC_108_MAG_00139_000000000044_2	-
TARA_ARC_108_MAG_00139_000000000044_3	-
TARA_ARC_108_MAG_00139_000000000045_1	-
TARA_ARC_108_MAG_00139_000000000045_2	-
TARA_ARC_108_MAG_00139_000000000045_3	5.4.99.24
TARA_ARC_108_MAG_00139_000000000045_4	3.1.3.18
TARA_ARC_108_MAG_00139_000000000045_5	-
TARA_ARC_108_MAG_00139_000000000045_6	-
TARA_ARC_108_MAG_00139_000000000045_7	-
TARA_ARC_108_MAG_00139_000000000045_8	-
TARA_ARC_108_MAG_00139_000000000045_9	3.6.3.21
TARA_ARC_108_MAG_00139_000000000045_10	-
TARA_ARC_108_MAG_00139_000000000045_11	-
TARA_ARC_108_MAG_00139_000000000045_12	2.7.2.8
TARA_ARC_108_MAG_00139_000000000045_13	-
TARA_ARC_108_MAG_00139_000000000045_14	-
TARA_ARC_108_MAG_00139_000000000045_15	-
TARA_ARC_108_MAG_00139_000000000045_16	-
TARA_ARC_108_MAG_00139_000000000045_17	-
TARA_ARC_108_MAG_00139_000000000046_1	-
TARA_ARC_108_MAG_00139_000000000046_2	2.6.1.17
TARA_ARC_108_MAG_00139_000000000046_3	6.3.5.6,6.3.5.7
TARA_ARC_108_MAG_00139_000000000047_1	5.3.1.5
TARA_ARC_108_MAG_00139_000000000047_2	-
TARA_ARC_108_MAG_00139_000000000047_3	-
TARA_ARC_108_MAG_00139_000000000048_1	-
TARA_ARC_108_MAG_00139_000000000048_2	-
TARA_ARC_108_MAG_00139_000000000048_3	-
TARA_ARC_108_MAG_00139_000000000049_1	1.6.5.3
TARA_ARC_108_MAG_00139_000000000049_2	-
TARA_ARC_108_MAG_00139_000000000049_3	1.6.5.3
TARA_ARC_108_MAG_00139_000000000050_1	-
TARA_ARC_108_MAG_00139_000000000050_2	-
TARA_ARC_108_MAG_00139_000000000050_3	1.14.11.1
TARA_ARC_108_MAG_00139_000000000050_4	1.14.11.1
TARA_ARC_108_MAG_00139_000000000050_5	1.2.1.3
TARA_ARC_108_MAG_00139_000000000050_6	-
TARA_ARC_108_MAG_00139_000000000050_7	-
TARA_ARC_108_MAG_00139_000000000050_8	-
TARA_ARC_108_MAG_00139_000000000051_1	-
TARA_ARC_108_MAG_00139_000000000051_2	6.3.5.6,6.3.5.7
TARA_ARC_108_MAG_00139_000000000051_3	6.3.5.6,6.3.5.7
TARA_ARC_108_MAG_00139_000000000051_4	-
TARA_ARC_108_MAG_00139_000000000051_5	2.5.1.3,3.5.1.28
TARA_ARC_108_MAG_00139_000000000051_6	-
TARA_ARC_108_MAG_00139_000000000052_1	1.3.1.33
TARA_ARC_108_MAG_00139_000000000052_2	-
TARA_ARC_108_MAG_00139_000000000053_2	1.5.1.2
TARA_ARC_108_MAG_00139_000000000053_3	2.6.1.42
TARA_ARC_108_MAG_00139_000000000053_4	-
TARA_ARC_108_MAG_00139_000000000053_5	-
TARA_ARC_108_MAG_00139_000000000053_6	3.6.3.21
TARA_ARC_108_MAG_00139_000000000053_7	-
TARA_ARC_108_MAG_00139_000000000053_8	-
TARA_ARC_108_MAG_00139_000000000054_1	3.1.1.83
TARA_ARC_108_MAG_00139_000000000054_2	-
TARA_ARC_108_MAG_00139_000000000054_3	2.5.1.18
TARA_ARC_108_MAG_00139_000000000054_4	-
TARA_ARC_108_MAG_00139_000000000054_5	2.7.1.156,2.7.7.62
TARA_ARC_108_MAG_00139_000000000054_6	-
TARA_ARC_108_MAG_00139_000000000054_7	4.1.1.36,6.3.2.5
TARA_ARC_108_MAG_00139_000000000054_8	3.6.1.23
TARA_ARC_108_MAG_00139_000000000054_9	2.7.7.80
TARA_ARC_108_MAG_00139_000000000054_10	3.4.15.5
TARA_ARC_108_MAG_00139_000000000054_11	1.1.1.79,1.1.1.81
TARA_ARC_108_MAG_00139_000000000054_12	-
TARA_ARC_108_MAG_00139_000000000054_13	-
TARA_ARC_108_MAG_00139_000000000054_14	3.4.16.4
TARA_ARC_108_MAG_00139_000000000054_15	-
TARA_ARC_108_MAG_00139_000000000054_16	-
TARA_ARC_108_MAG_00139_000000000054_17	-
TARA_ARC_108_MAG_00139_000000000054_18	-
TARA_ARC_108_MAG_00139_000000000054_19	2.3.3.13
TARA_ARC_108_MAG_00139_000000000055_1	-
TARA_ARC_108_MAG_00139_000000000055_2	2.3.1.30
TARA_ARC_108_MAG_00139_000000000055_3	-
TARA_ARC_108_MAG_00139_000000000055_4	3.6.1.63
TARA_ARC_108_MAG_00139_000000000055_5	-
TARA_ARC_108_MAG_00139_000000000055_6	3.6.3.4
TARA_ARC_108_MAG_00139_000000000055_7	-
TARA_ARC_108_MAG_00139_000000000055_8	-
TARA_ARC_108_MAG_00139_000000000055_9	-
TARA_ARC_108_MAG_00139_000000000055_10	-
TARA_ARC_108_MAG_00139_000000000055_11	-
TARA_ARC_108_MAG_00139_000000000056_2	5.99.1.3
TARA_ARC_108_MAG_00139_000000000056_3	-
TARA_ARC_108_MAG_00139_000000000057_1	-
TARA_ARC_108_MAG_00139_000000000057_2	1.2.7.8
TARA_ARC_108_MAG_00139_000000000057_3	2.7.1.2
TARA_ARC_108_MAG_00139_000000000058_1	2.3.2.2,3.4.19.13
TARA_ARC_108_MAG_00139_000000000058_2	2.7.11.1
TARA_ARC_108_MAG_00139_000000000058_3	-
TARA_ARC_108_MAG_00139_000000000058_4	2.3.1.9
TARA_ARC_108_MAG_00139_000000000058_5	1.8.4.14
TARA_ARC_108_MAG_00139_000000000059_1	2.3.2.2,3.4.19.13
TARA_ARC_108_MAG_00139_000000000059_2	-
TARA_ARC_108_MAG_00139_000000000059_3	-
TARA_ARC_108_MAG_00139_000000000059_4	-
TARA_ARC_108_MAG_00139_000000000059_5	-
TARA_ARC_108_MAG_00139_000000000060_1	3.4.25.2
TARA_ARC_108_MAG_00139_000000000060_2	-
TARA_ARC_108_MAG_00139_000000000060_3	-
TARA_ARC_108_MAG_00139_000000000060_4	-
TARA_ARC_108_MAG_00139_000000000060_5	-
TARA_ARC_108_MAG_00139_000000000060_6	-
TARA_ARC_108_MAG_00139_000000000060_7	-
TARA_ARC_108_MAG_00139_000000000060_8	-
TARA_ARC_108_MAG_00139_000000000060_9	2.7.7.7
TARA_ARC_108_MAG_00139_000000000060_10	2.7.1.24
TARA_ARC_108_MAG_00139_000000000060_11	1.1.1.25
TARA_ARC_108_MAG_00139_000000000060_12	-
TARA_ARC_108_MAG_00139_000000000060_13	-
TARA_ARC_108_MAG_00139_000000000061_1	2.7.13.3
TARA_ARC_108_MAG_00139_000000000061_2	2.7.1.4,2.7.1.45
TARA_ARC_108_MAG_00139_000000000061_3	4.2.1.8
TARA_ARC_108_MAG_00139_000000000061_4	-
TARA_ARC_108_MAG_00139_000000000061_5	-
TARA_ARC_108_MAG_00139_000000000061_6	-
TARA_ARC_108_MAG_00139_000000000061_7	-
TARA_ARC_108_MAG_00139_000000000061_8	1.1.1.100
TARA_ARC_108_MAG_00139_000000000061_9	-
TARA_ARC_108_MAG_00139_000000000062_1	-
TARA_ARC_108_MAG_00139_000000000062_2	-
TARA_ARC_108_MAG_00139_000000000062_3	-
TARA_ARC_108_MAG_00139_000000000062_4	1.4.99.6
TARA_ARC_108_MAG_00139_000000000062_5	-
TARA_ARC_108_MAG_00139_000000000062_6	-
TARA_ARC_108_MAG_00139_000000000062_7	-
TARA_ARC_108_MAG_00139_000000000062_9	-
TARA_ARC_108_MAG_00139_000000000063_1	1.5.3.1
TARA_ARC_108_MAG_00139_000000000063_2	1.5.3.1
TARA_ARC_108_MAG_00139_000000000063_3	-
TARA_ARC_108_MAG_00139_000000000063_4	-
TARA_ARC_108_MAG_00139_000000000063_5	-
TARA_ARC_108_MAG_00139_000000000064_1	-
TARA_ARC_108_MAG_00139_000000000064_2	-
TARA_ARC_108_MAG_00139_000000000064_3	2.1.3.15,6.4.1.3
TARA_ARC_108_MAG_00139_000000000064_5	-
TARA_ARC_108_MAG_00139_000000000065_1	-
TARA_ARC_108_MAG_00139_000000000065_2	-
TARA_ARC_108_MAG_00139_000000000065_3	2.7.7.59
TARA_ARC_108_MAG_00139_000000000066_1	2.7.1.33
TARA_ARC_108_MAG_00139_000000000066_2	6.3.4.15
TARA_ARC_108_MAG_00139_000000000066_3	1.6.5.3
TARA_ARC_108_MAG_00139_000000000066_4	1.6.5.3
TARA_ARC_108_MAG_00139_000000000067_1	1.2.1.3,1.2.1.99
TARA_ARC_108_MAG_00139_000000000067_2	-
TARA_ARC_108_MAG_00139_000000000067_3	-
TARA_ARC_108_MAG_00139_000000000067_4	-
TARA_ARC_108_MAG_00139_000000000067_5	-
TARA_ARC_108_MAG_00139_000000000068_1	-
TARA_ARC_108_MAG_00139_000000000068_2	-
TARA_ARC_108_MAG_00139_000000000068_3	-
TARA_ARC_108_MAG_00139_000000000068_4	-
TARA_ARC_108_MAG_00139_000000000068_5	-
TARA_ARC_108_MAG_00139_000000000068_6	-
TARA_ARC_108_MAG_00139_000000000068_7	-
TARA_ARC_108_MAG_00139_000000000068_8	-
TARA_ARC_108_MAG_00139_000000000068_9	1.1.1.35
TARA_ARC_108_MAG_00139_000000000068_10	-
TARA_ARC_108_MAG_00139_000000000068_11	-
TARA_ARC_108_MAG_00139_000000000068_12	-
TARA_ARC_108_MAG_00139_000000000068_13	-
TARA_ARC_108_MAG_00139_000000000068_14	-
TARA_ARC_108_MAG_00139_000000000068_15	5.1.3.1
TARA_ARC_108_MAG_00139_000000000069_1	2.1.1.13
TARA_ARC_108_MAG_00139_000000000069_2	1.5.1.20
TARA_ARC_108_MAG_00139_000000000069_3	-
TARA_ARC_108_MAG_00139_000000000069_4	3.6.1.11,3.6.1.40
TARA_ARC_108_MAG_00139_000000000069_5	2.1.1.166
TARA_ARC_108_MAG_00139_000000000069_6	-
TARA_ARC_108_MAG_00139_000000000070_1	2.8.1.7,4.4.1.16
TARA_ARC_108_MAG_00139_000000000070_2	-
TARA_ARC_108_MAG_00139_000000000070_3	-
TARA_ARC_108_MAG_00139_000000000070_4	-
TARA_ARC_108_MAG_00139_000000000070_5	-
TARA_ARC_108_MAG_00139_000000000071_1	2.7.1.217
TARA_ARC_108_MAG_00139_000000000071_2	4.1.1.104
TARA_ARC_108_MAG_00139_000000000071_3	5.3.1.35
TARA_ARC_108_MAG_00139_000000000071_4	-
TARA_ARC_108_MAG_00139_000000000071_5	2.6.1.1
TARA_ARC_108_MAG_00139_000000000071_6	2.6.1.1
TARA_ARC_108_MAG_00139_000000000072_1	-
TARA_ARC_108_MAG_00139_000000000072_2	-
TARA_ARC_108_MAG_00139_000000000072_3	2.3.1.39
TARA_ARC_108_MAG_00139_000000000072_4	-
TARA_ARC_108_MAG_00139_000000000072_5	1.1.1.100
TARA_ARC_108_MAG_00139_000000000072_6	-
TARA_ARC_108_MAG_00139_000000000072_7	-
TARA_ARC_108_MAG_00139_000000000072_8	2.3.1.179
TARA_ARC_108_MAG_00139_000000000073_1	-
TARA_ARC_108_MAG_00139_000000000073_3	-
TARA_ARC_108_MAG_00139_000000000073_4	3.6.3.55
TARA_ARC_108_MAG_00139_000000000073_5	-
TARA_ARC_108_MAG_00139_000000000073_6	-
TARA_ARC_108_MAG_00139_000000000073_7	-
TARA_ARC_108_MAG_00139_000000000073_8	-
TARA_ARC_108_MAG_00139_000000000073_9	-
TARA_ARC_108_MAG_00139_000000000073_10	-
TARA_ARC_108_MAG_00139_000000000073_11	-
TARA_ARC_108_MAG_00139_000000000073_12	-
TARA_ARC_108_MAG_00139_000000000074_1	-
TARA_ARC_108_MAG_00139_000000000074_2	1.14.13.218
TARA_ARC_108_MAG_00139_000000000075_1	2.7.7.42,2.7.7.89
TARA_ARC_108_MAG_00139_000000000075_2	-
TARA_ARC_108_MAG_00139_000000000075_3	-
TARA_ARC_108_MAG_00139_000000000075_4	2.3.2.29
TARA_ARC_108_MAG_00139_000000000075_5	-
TARA_ARC_108_MAG_00139_000000000075_6	-
TARA_ARC_108_MAG_00139_000000000076_1	3.5.1.19
TARA_ARC_108_MAG_00139_000000000076_2	-
TARA_ARC_108_MAG_00139_000000000076_3	-
TARA_ARC_108_MAG_00139_000000000076_4	1.3.7.1
TARA_ARC_108_MAG_00139_000000000076_5	-
TARA_ARC_108_MAG_00139_000000000076_6	-
TARA_ARC_108_MAG_00139_000000000076_7	-
TARA_ARC_108_MAG_00139_000000000076_8	-
TARA_ARC_108_MAG_00139_000000000076_9	3.5.2.18
TARA_ARC_108_MAG_00139_000000000077_1	-
TARA_ARC_108_MAG_00139_000000000077_2	-
TARA_ARC_108_MAG_00139_000000000077_3	2.4.2.14
TARA_ARC_108_MAG_00139_000000000078_1	6.2.1.30
TARA_ARC_108_MAG_00139_000000000078_2	-
TARA_ARC_108_MAG_00139_000000000078_3	-
TARA_ARC_108_MAG_00139_000000000078_4	-
TARA_ARC_108_MAG_00139_000000000078_5	3.1.2.12
TARA_ARC_108_MAG_00139_000000000078_6	-
TARA_ARC_108_MAG_00139_000000000078_7	3.8.1.2
TARA_ARC_108_MAG_00139_000000000078_8	4.3.1.12
TARA_ARC_108_MAG_00139_000000000078_9	-
TARA_ARC_108_MAG_00139_000000000078_10	-
TARA_ARC_108_MAG_00139_000000000078_11	-
TARA_ARC_108_MAG_00139_000000000078_12	-
TARA_ARC_108_MAG_00139_000000000078_13	6.3.2.12,6.3.2.17
TARA_ARC_108_MAG_00139_000000000078_14	2.1.3.15,6.4.1.2
TARA_ARC_108_MAG_00139_000000000079_1	-
TARA_ARC_108_MAG_00139_000000000079_2	-
TARA_ARC_108_MAG_00139_000000000079_3	-
TARA_ARC_108_MAG_00139_000000000079_4	-
TARA_ARC_108_MAG_00139_000000000079_5	-
TARA_ARC_108_MAG_00139_000000000079_6	-
TARA_ARC_108_MAG_00139_000000000079_7	-
TARA_ARC_108_MAG_00139_000000000079_8	-
TARA_ARC_108_MAG_00139_000000000079_9	-
TARA_ARC_108_MAG_00139_000000000079_10	-
TARA_ARC_108_MAG_00139_000000000079_11	-
TARA_ARC_108_MAG_00139_000000000079_12	3.6.3.14
TARA_ARC_108_MAG_00139_000000000079_13	-
TARA_ARC_108_MAG_00139_000000000079_14	-
TARA_ARC_108_MAG_00139_000000000079_15	-
TARA_ARC_108_MAG_00139_000000000079_16	-
TARA_ARC_108_MAG_00139_000000000079_17	-
TARA_ARC_108_MAG_00139_000000000079_18	-
TARA_ARC_108_MAG_00139_000000000080_1	-
TARA_ARC_108_MAG_00139_000000000080_3	-
TARA_ARC_108_MAG_00139_000000000080_4	2.7.13.3
TARA_ARC_108_MAG_00139_000000000080_5	-
TARA_ARC_108_MAG_00139_000000000080_6	3.5.1.5
TARA_ARC_108_MAG_00139_000000000080_7	3.5.1.5
